DPN,P0,Q0,V0,MA,RHO,T0,RE,ALFA,BETA,CL,CD,CM25,CYAW,CROLL,CY
200,100412,2817,70.08,0.200,1.147,301.75,1.514,-9.86,0.00,0.2054,0.1227,-0.2911,-0.0046,-0.0390,0.0084
201,100406,2815,70.07,0.200,1.147,301.85,1.512,-8.72,0.00,0.3990,0.1126,-0.3324,-0.0022,-0.0276,0.0079
202,100402,2814,70.07,0.200,1.146,301.95,1.511,-7.53,0.00,0.6695,0.1005,-0.3817,-0.0005,0.0002,0.0059
203,100399,2814,70.08,0.200,1.146,302.02,1.511,-6.44,0.00,0.7976,0.1039,-0.3783,-0.0001,0.0026,0.0055
204,100401,2811,70.06,0.200,1.146,302.12,1.510,-5.37,0.00,0.9071,0.1098,-0.3721,0.0001,0.0043,0.0053
205,100401,2811,70.05,0.200,1.145,302.17,1.509,-4.30,0.00,1.0076,0.1162,-0.3675,0.0002,0.0050,0.0054
206,100400,2811,70.06,0.200,1.145,302.23,1.509,-3.22,0.00,1.1213,0.1252,-0.3663,0.0002,0.0055,0.0052
207,100401,2809,70.05,0.200,1.145,302.28,1.508,-2.15,0.00,1.2206,0.1333,-0.3594,0.0001,0.0057,0.0055
208,100400,2809,70.06,0.200,1.145,302.33,1.508,-1.08,0.00,1.3165,0.1421,-0.3546,0.0000,0.0061,0.0055
209,100402,2809,70.05,0.200,1.145,302.36,1.507,-0.02,0.00,1.4130,0.1516,-0.3516,-0.0001,0.0068,0.0059
210,100401,2808,70.05,0.200,1.145,302.41,1.507,1.05,0.00,1.5069,0.1616,-0.3482,-0.0002,0.0075,0.0057
214,100401,2805,70.03,0.200,1.144,302.64,1.505,3.18,0.00,1.6898,0.1828,-0.3429,-0.0006,0.0078,0.0060
215,100400,2805,70.05,0.200,1.144,302.68,1.505,5.31,0.00,1.8766,0.2074,-0.3455,-0.0003,0.0089,0.0019
216,100400,2804,70.03,0.200,1.143,302.73,1.504,7.43,0.00,2.0552,0.2341,-0.3473,-0.0002,0.0089,-0.0014
217,100400,2801,70.00,0.200,1.143,302.76,1.503,9.55,0.00,2.2244,0.2618,-0.3479,-0.0005,0.0095,-0.0019
218,100403,2802,70.01,0.200,1.143,302.79,1.503,11.66,0.00,2.3863,0.2911,-0.3507,-0.0006,0.0095,-0.0027
219,100403,2804,70.05,0.200,1.143,302.82,1.503,12.72,0.00,2.4600,0.3060,-0.3535,-0.0008,0.0091,-0.0031
220,100403,2804,70.05,0.200,1.143,302.86,1.503,13.77,0.00,2.5322,0.3213,-0.3566,-0.0009,0.0091,-0.0034
221,100406,2802,70.02,0.200,1.143,302.89,1.502,14.80,0.00,2.5842,0.3349,-0.3554,-0.0008,0.0075,-0.0063
